"County","Sector","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Non-Residential","    7290.915618","    7411.769032","    7630.231361","    7582.603472","    7945.485915","    7691.106668","    7334.450495","    8175.797532","    8761.939324","    8061.906141","    8039.253461","    7771.920626","    7662.683064","    7613.417252","    7443.371048","    7736.060574","    6709.315006","    7306.173891","    7823.244481","    7769.025061","    7309.930938","    6668.237122","    7260.776432","    6822.523242","    6809.573768","    7109.299895","  195741.011419"
"ALAMEDA","Residential","    2954.751488","    2880.648336","    2980.359907","    2998.149531","    3024.871994","    3022.114523","    3017.303877","    2996.844034","    2972.464956","    3118.801454","    3025.647753","    2898.133301","    2937.259958","    2811.681500","    2745.227931","    2926.120097","    2860.076530","    2791.335785","    2674.834394","    2615.308775","    2548.457958","    2774.566317","    2529.229286","    2465.000074","    2515.209970","    2498.265626","   73582.665355"
"ALAMEDA","Total","   10245.667106","   10292.417368","   10610.591267","   10580.753003","   10970.357910","   10713.221191","   10351.754372","   11172.641567","   11734.404279","   11180.707595","   11064.901214","   10670.053927","   10599.943022","   10425.098751","   10188.598978","   10662.180672","    9569.391535","   10097.509677","   10498.078875","   10384.333836","    9858.388895","    9442.803439","    9790.005719","    9287.523316","    9324.783738","    9607.565521","  269323.676773"
"ALPINE","Non-Residential","       4.333812","       4.013337","       4.754857","       4.591009","       5.200214","       5.203789","       5.234789","       9.368614","      10.685739","       9.377073","       9.132023","       9.431229","       5.112883","       4.671739","       5.081493","       5.159971","       4.152735","       4.885729","       4.468048","       4.384382","       4.296693","       4.382027","       4.485710","       4.224083","       3.906455","       3.581764","     144.120197"
"ALPINE","Residential","      11.906812","      11.963108","      13.418712","       9.296515","       9.092831","      12.451962","      13.029405","       8.899778","       9.326645","       9.537211","       8.090874","       8.996372","       6.352394","       6.720953","       6.858448","       6.247035","       6.560580","       6.792008","       6.373298","       6.063832","       6.231561","       6.183168","       6.812776","       5.808735","       6.165242","       6.036978","     215.217233"
"ALPINE","Total","      16.240624","      15.976446","      18.173569","      13.887524","      14.293045","      17.655751","      18.264193","      18.268392","      20.012384","      18.914285","      17.222897","      18.427601","      11.465277","      11.392691","      11.939940","      11.407006","      10.713315","      11.677737","      10.841346","      10.448214","      10.528255","      10.565195","      11.298486","      10.032819","      10.071697","       9.618742","     359.337431"
"AMADOR","Non-Residential","     151.493966","     155.229698","     171.137031","     180.927522","     170.049214","     175.756048","     184.063316","     188.042378","     184.948596","     172.094898","     160.679926","     165.146165","     142.224324","     135.656632","     184.203753","     234.771988","     188.709807","     204.587930","     202.181877","     215.523316","     250.506536","     240.422295","     243.241198","     229.456968","     229.735421","     210.835640","    4971.626443"
"AMADOR","Residential","     135.730917","     134.172967","     139.245432","     140.977034","     140.210650","     139.932211","     142.929679","     144.139820","     142.646633","     142.574686","     134.445972","     135.701319","     129.202942","     126.469248","     121.406336","     127.238094","     123.211756","     123.223311","     114.815322","     115.017917","     110.744724","     110.372675","     109.035503","     105.907059","     108.875556","     105.093388","    3303.321151"
"AMADOR","Total","     287.224884","     289.402665","     310.382463","     321.904556","     310.259864","     315.688259","     326.992995","     332.182198","     327.595229","     314.669584","     295.125898","     300.847484","     271.427266","     262.125881","     305.610089","     362.010082","     311.921563","     327.811242","     316.997198","     330.541233","     361.251260","     350.794970","     352.276701","     335.364027","     338.610978","     315.929028","    8274.947597"
"BUTTE","Non-Residential","     769.680076","     769.168351","     771.249936","     766.973380","     707.424163","     697.561154","     715.085215","     742.097896","     797.155835","     717.357748","     670.997245","     688.072188","     665.862309","     710.548590","     643.681863","     858.737526","     643.562755","     675.230084","     944.057618","     776.793460","     721.017567","     962.960481","     694.270068","     728.857099","     754.417745","     853.894130","   19446.714482"
"BUTTE","Residential","     730.693494","     718.322342","     729.966407","     739.591788","     726.678599","     719.784286","     732.359130","     724.577885","     715.364366","     708.765303","     686.121658","     689.890693","     658.729732","     638.693124","     604.708272","     705.766172","     622.306440","     616.782127","     597.449897","     594.667475","     559.101202","     556.276390","     551.043168","     555.149304","     553.073852","     547.901570","   16983.764676"
"BUTTE","Total","    1500.373570","    1487.490692","    1501.216343","    1506.565168","    1434.102763","    1417.345439","    1447.444345","    1466.675782","    1512.520202","    1426.123052","    1357.118903","    1377.962880","    1324.592041","    1349.241715","    1248.390135","    1564.503698","    1265.869195","    1292.012211","    1541.507515","    1371.460934","    1280.118768","    1519.236871","    1245.313236","    1284.006403","    1307.491598","    1401.795701","   36430.479160"
"CALAVERAS","Non-Residential","     118.786132","     126.075835","     125.826206","     123.952120","     124.512422","     116.773791","     121.137110","     119.252937","     122.206041","     123.237184","     119.924964","      99.106324","      94.787967","      97.365030","      86.515141","      81.848138","      70.813264","      77.131751","      76.243264","      69.294418","      65.145714","      86.719368","     101.921925","     107.287440","     108.402558","     105.650088","    2669.917132"
"CALAVERAS","Residential","     195.578184","     191.973350","     199.657934","     201.647941","     200.722563","     198.268515","     202.139220","     200.788639","     200.021338","     195.113238","     187.965981","     189.260095","     177.250117","     175.355187","     168.844090","     173.578409","     168.994290","     167.369960","     157.714415","     153.829455","     148.585115","     146.123388","     145.291775","     140.066797","     143.201069","     138.299372","    4567.640437"
"CALAVERAS","Total","     314.364316","     318.049185","     325.484140","     325.600062","     325.234985","     315.042306","     323.276329","     320.041576","     322.227379","     318.350422","     307.890946","     288.366419","     272.038084","     272.720217","     255.359232","     255.426547","     239.807554","     244.501711","     233.957679","     223.123873","     213.730829","     232.842757","     247.213700","     247.354237","     251.603627","     243.949460","    7237.557572"
"COLUSA","Non-Residential","     241.932237","     240.841429","     234.297320","     214.108194","     207.207221","     193.213643","     200.115658","     193.107061","     186.487504","     183.224933","     184.719636","     175.423030","     163.501641","     198.647619","     196.950031","     184.207127","     159.424502","     152.859300","     160.209239","     151.239858","     144.016009","     154.017770","     145.180261","     145.705115","     143.530792","     145.044750","    4699.211880"
"COLUSA","Residential","      65.739521","      64.558950","      64.720427","      65.636877","      64.386941","      63.431841","      65.593966","      64.252561","      64.192500","      65.002369","      63.476683","      59.632212","      58.222341","      54.712903","      53.398152","      56.692548","      54.374055","      54.668465","      54.037338","      53.461666","      50.557113","      50.078667","      49.733609","      50.535778","      50.731018","      50.598114","    1512.426615"
"COLUSA","Total","     307.671758","     305.400379","     299.017747","     279.745070","     271.594163","     256.645484","     265.709624","     257.359623","     250.680004","     248.227302","     248.196319","     235.055243","     221.723982","     253.360522","     250.348184","     240.899676","     213.798557","     207.527765","     214.246577","     204.701523","     194.573122","     204.096438","     194.913870","     196.240893","     194.261811","     195.642863","    6211.638499"
"CONTRA COSTA","Non-Residential","    6593.498885","    6869.036956","    6401.541654","    6322.658952","    6340.310721","    6368.694200","    6293.697914","    6560.707439","    5852.313772","    5927.838440","    5837.362891","    5884.936477","    5704.276400","    5547.854969","    5858.828804","    5987.510626","    5922.035019","    6290.524214","    6966.512586","    6747.460390","    6841.034944","    6769.255690","    6651.078676","    6306.654200","    6346.411603","    6521.032055","  163713.068477"
"CONTRA COSTA","Residential","    2797.494760","    2727.638654","    2766.718837","    2769.230313","    2752.958739","    2735.658986","    2789.800042","    2786.777793","    2739.719313","    2746.184129","    2662.523250","    2650.380864","    2540.375507","    2484.908181","    2371.331869","    2637.012578","    2466.917846","    2447.753081","    2341.163070","    2316.045847","    2177.154476","    2137.669934","    2167.951542","    2094.083360","    2073.815256","    2074.798616","   65256.066843"
