Planning Area Description,Year,Ag & Water Pump,Commercial Building,Commercial Other,Industry,Mining & Construction,Residential,Streetlight,Total Usage
"Burbank, Glendale, and Pasadena",1990,11.960217,960.077615,34.07428,422.342236,36.559814,581.876685,17.700044,2064.590891
"Burbank, Glendale, and Pasadena",1991,11.822134,948.244378,36.180572,329.328576,30.689211,540.434218,17.657846,1914.356935
"Burbank, Glendale, and Pasadena",1992,12.076565,1039.776036,34.052828,303.059341,30.155044,578.598,17.722187,2015.440001
"Burbank, Glendale, and Pasadena",1993,10.610095,1055.263796,31.559605,257.063486,31.294235,554.564,18.036784,1958.392001
"Burbank, Glendale, and Pasadena",1994,11.272022,1056.992486,34.09153,234.583096,34.848768,571.656,17.686098,1961.13
"Burbank, Glendale, and Pasadena",1995,12.369305,1103.498907,33.264697,193.734761,35.160542,576.706,17.235788,1971.97
"Burbank, Glendale, and Pasadena",1996,7.566411,1148.188048,34.564215,193.0054,36.991273,585.74,16.774653,2022.83
"Burbank, Glendale, and Pasadena",1997,7.056725,1205.400167,38.435209,198.757318,32.462124,596.206,17.066456,2095.383999
"Burbank, Glendale, and Pasadena",1998,5.734642,1178.636838,38.154131,188.045073,35.342912,603.495,16.139405,2065.548001
"Burbank, Glendale, and Pasadena",1999,7.014006,1219.427081,40.816797,184.424588,37.2721,594.555317,16.774501,2100.28439
"Burbank, Glendale, and Pasadena",2000,7.660175,1241.429026,39.544342,167.752437,36.985287,605.002222,17.633916,2116.007405
"Burbank, Glendale, and Pasadena",2001,7.418185,1262.352859,47.814518,136.851508,35.364077,613.002199,18.203986,2121.007332
"Burbank, Glendale, and Pasadena",2002,15.304424,1236.352302,51.446251,148.667223,31.449779,592.014571,17.814021,2093.048571
"Burbank, Glendale, and Pasadena",2003,13.769015,1263.101559,46.133435,126.820687,29.54351,600.025568,17.691452,2097.085226
"Burbank, Glendale, and Pasadena",2004,3.117268,1293.121602,46.546016,140.192664,34.008774,652.072384,17.182572,2186.24128
"Burbank, Glendale, and Pasadena",2005,3.398764,1252.008114,65.637834,149.909851,36.359827,630.11001,17.134148,2154.558548
"Burbank, Glendale, and Pasadena",2006,3.206094,1315.732467,70.912644,158.861859,40.881488,649.135209,17.485262,2256.215023
"Burbank, Glendale, and Pasadena",2007,5.641414,1386.356048,59.23824,130.889405,44.167631,666.199402,19,2311.49214
"Burbank, Glendale, and Pasadena",2008,11.80592,1240.455337,211.555552,111.953776,40.99174,668.184966,19,2303.947291
"Burbank, Glendale, and Pasadena",2009,4.921255,1213.982878,219.980442,122.095086,33.308887,672.566254,19,2285.854802
"Burbank, Glendale, and Pasadena",2010,11.10498,1176.648318,199.528162,113.829081,29.734723,646.397556,19,2196.24282
