County,Sector,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
ALAMEDA,Non-Residential,161.594634,169.811343,184.603817,175.772119,175.197235,184.174816,185.05431,197.672918,203.730165,206.041689,226.431243,263.121853,248.496121,234.18459,196.407003,203.498498,216.276212,210.857229,217.086971,211.989991,209.008506,212.099068,208.931295,191.213049,222.319795,236.767854,5352.342324
ALAMEDA,Residential,193.358706,191.247913,238.289446,232.297867,245.329593,238.806191,235.773686,239.062005,239.038531,235.534915,227.652802,238.993974,241.867356,152.816232,200.251346,266.996241,300.559941,275.692803,245.157358,245.65934,246.393577,254.727185,263.701703,242.63482,277.624331,272.442934,6241.910796
ALAMEDA,Total,354.953341,361.059255,422.893263,408.069986,420.526828,422.981007,420.827996,436.734923,442.768696,441.576604,454.084045,502.115827,490.363477,387.000822,396.658349,470.494739,516.836153,486.550032,462.244329,457.649331,455.402083,466.826253,472.632998,433.847869,499.944126,509.210788,11594.25312
AMADOR,Non-Residential,3.104678,3.362008,6.327871,5.620708,6.407966,7.10151,6.929982,6.37655,6.202621,7.307718,7.867721,14.896736,8.942975,10.641182,7.874664,6.508303,7.641425,6.953726,6.461154,6.876527,14.288198,12.385638,14.686538,12.236344,11.683278,11.453309,220.13933
AMADOR,Residential,1.88581,1.796621,2.175045,2.153382,2.388172,2.226319,2.241431,2.213983,2.210002,2.197794,1.968426,2.129429,3.109526,1.14193,1.43583,2.031853,2.156251,2.019799,1.841828,1.742106,1.74802,0.007249,1.829015,1.630337,1.755436,1.622863,49.658457
AMADOR,Total,4.990488,5.15863,8.502915,7.77409,8.796138,9.327829,9.171413,8.590533,8.412623,9.505512,9.836147,17.026165,12.052501,11.783112,9.310494,8.540156,9.797676,8.973525,8.302982,8.618633,16.036218,12.392887,16.515553,13.866681,13.438714,13.076172,269.797787
BUTTE,Non-Residential,16.522564,17.742912,18.422599,18.457184,17.697737,17.6815,17.458104,17.072846,16.860849,17.405531,15.609153,18.12528,19.489758,14.411248,11.476753,31.457511,40.004498,47.635421,31.622374,18.420145,17.370646,22.330633,21.250423,22.484976,20.587731,17.196024,544.7944
BUTTE,Residential,23.905526,24.205261,28.890442,28.607582,30.85991,29.602167,29.093374,29.351332,28.473254,28.914431,27.765773,29.21878,29.816735,17.323668,22.124962,31.227973,33.858301,31.610999,28.71389,28.552414,28.287369,30.541695,30.768761,27.531106,29.04816,28.300479,736.594344
BUTTE,Total,40.42809,41.948173,47.313041,47.064766,48.557647,47.283667,46.551478,46.424178,45.334103,46.319962,43.374926,47.34406,49.306493,31.734916,33.601715,62.685484,73.862799,79.24642,60.336264,46.972559,45.658015,52.872328,52.019184,50.016082,49.635891,45.496503,1281.388744
CALAVERAS,Non-Residential,0.552358,0.463149,0.541592,0.477773,0.505861,0.460066,0.5401,0.582361,0.523434,0.499944,0.748411,0.761042,0.503471,0.394118,0.313916,0.478883,0.490136,0.470398,0.446327,0.398763,0.416781,0.401141,0.379944,0.327601,0.341145,0.354752,12.373467
CALAVERAS,Residential,0.436864,0.356257,0.498476,0.464472,0.499225,0.434908,0.479464,0.52974,0.492916,0.490135,0.4832,0.485246,1.452446,0.264323,0.330369,0.519207,0.567756,0.520312,0.46217,0.462548,0.464256,0.521145,0.505485,0.459707,0.452245,0.419101,13.051973
CALAVERAS,Total,0.989222,0.819407,1.040067,0.942245,1.005086,0.894974,1.019564,1.112101,1.01635,0.990079,1.231611,1.246288,1.955917,0.658441,0.644285,0.99809,1.057892,0.99071,0.908497,0.861311,0.881037,0.922286,0.885429,0.787308,0.79339,0.773853,25.42544
COLUSA,Non-Residential,36.019755,28.606518,26.516133,26.535055,23.960111,17.642974,23.610051,26.538927,26.1136,24.062838,32.386783,38.854883,29.552231,39.677565,34.245424,38.239121,41.764167,38.714302,23.683899,20.24428,27.927137,41.579857,11.370888,17.841393,15.681702,15.120288,726.489882
COLUSA,Residential,1.907604,1.87758,2.268217,2.250606,2.448566,2.39451,2.322075,2.309928,2.24976,2.298291,2.204896,2.199345,3.805061,1.266995,1.644887,2.334969,2.575878,2.407111,2.188864,2.19854,2.200705,2.354861,2.372283,2.117536,2.267584,2.216239,58.682891
COLUSA,Total,37.927359,30.484098,28.78435,28.785661,26.408677,20.037484,25.932126,28.848855,28.36336,26.361129,34.591679,41.054228,33.357292,40.94456,35.890311,40.57409,44.340045,41.121413,25.872763,22.44282,30.127842,43.934718,13.743171,19.958929,17.949286,17.336527,785.172773
CONTRA COSTA,Non-Residential,934.731221,950.172157,901.00887,959.221896,923.547937,830.458365,802.579414,802.18301,671.583864,914.965773,350.382342,336.034436,157.365936,183.75152,411.052748,871.986104,793.64598,900.79942,994.447636,1018.62478,787.855818,670.852013,610.839154,552.327017,623.229657,706.668622,18660.31569
CONTRA COSTA,Residential,152.683103,148.652346,185.278993,179.469806,194.770744,187.190384,182.204595,183.18463,180.196309,181.074987,176.012403,182.308173,182.093932,112.933465,144.033021,196.239044,219.34869,200.070839,176.679238,174.411677,173.08394,201.045,191.646322,172.66535,191.846392,189.442911,4658.566294
CONTRA COSTA,Total,1087.414324,1098.824503,1086.287864,1138.691702,1118.318681,1017.648749,984.784009,985.36764,851.780173,1096.04076,526.394745,518.342609,339.459868,296.684985,555.085769,1068.225148,1012.99467,1100.870259,1171.126874,1193.036457,960.939758,871.897013,802.485476,724.992367,815.076049,896.111533,23318.88199
EL DORADO,Non-Residential,8.604722,8.184275,8.455487,7.877407,8.740643,8.304478,8.944815,8.785793,1.175366,1.128585,3.533466,1.644743,5.590215,5.893229,6.297012,2.017893,6.655649,6.649528,7.352949,9.10585,7.064968,1.752232,1.536729,1.419075,1.542917,7.812037,146.070063
EL DORADO,Residential,20.28784,19.276144,22.932242,21.571106,24.220476,23.027734,22.591426,22.425352,7.035172,7.039475,14.029931,20.902668,20.460549,852.420322,427.096621,3.927693,89.187045,93.661866,78.924464,72.575583,72.665025,14.119801,1.667581,1.368258,1.214835,0.904081,1955.53329
EL DORADO,Total,28.892562,27.460419,31.387729,29.448513,32.961119,31.332212,31.536241,31.211145,8.210538,8.16806,17.563397,22.547411,26.050764,858.313551,433.393633,5.945586,95.842694,100.311394,86.277413,81.681433,79.729993,15.872033,3.20431,2.787333,2.757752,8.716118,2101.603353
FRESNO,Non-Residential,200.564074,196.348184,173.391916,176.674523,173.072083,170.691108,161.03677,168.075877,166.729479,157.406057,213.218501,214.065357,163.772489,199.292619,183.587681,223.32776,255.287139,295.487048,202.111125,153.755979,194.166499,189.119269,189.090463,208.925492,357.007971,268.787109,5254.992572
FRESNO,Residential,97.466723,94.600328,111.74195,110.680174,117.879175,114.489939,113.785693,112.787776,114.796848,112.688291,108.364125,113.273304,110.708814,68.204512,87.693297,113.449838,129.252089,124.070959,103.45696,109.102238,104.311545,117.240878,110.497615,105.502396,111.769799,111.82555,2829.640816
FRESNO,Total,298.030798,290.948512,285.133866,287.354697,290.951258,285.181047,274.822463,280.863653,281.526327,270.094348,321.582626,327.338661,274.481303,267.497131,271.280978,336.777598,384.539228,419.558007,305.568085,262.858217,298.478044,306.360147,299.588078,314.427888,468.77777,380.612659,8084.633389
GLENN,Non-Residential,6.159543,5.767923,5.451086,5.143998,5.681864,5.249089,5.602193,5.202944,5.795996,6.262008,9.290547,8.035894,16.71839,10.011968,10.881281,9.074685,7.272838,7.582177,7.831329,9.981878,19.931279,18.73976,12.21168,10.257001,12.259358,12.367859,238.764568
GLENN,Residential,2.172447,2.139741,2.643722,2.560315,2.751844,2.677627,2.615248,2.67997,2.508278,2.595145,2.690727,2.603723,3.621701,1.54436,2.018227,2.869952,3.242186,3.205181,2.775647,2.795246,2.808333,2.952193,2.987111,2.702435,2.906488,2.834615,69.902462
GLENN,Total,8.33199,7.907665,8.094808,7.704313,8.433708,7.926716,8.217441,7.882914,8.304274,8.857153,11.981274,10.639617,20.340091,11.556328,12.899508,11.944637,10.515024,10.787358,10.606976,12.777124,22.739612,21.691953,15.198791,12.959436,15.165846,15.202474,308.667031
HUMBOLDT,Non-Residential,11.457358,11.211082,13.102212,13.18656,12.130573,11.569461,11.833757,17.550105,18.46676,19.679999,17.58226,17.802573,13.051717,14.833249,10.863141,27.127999,30.252811,26.594173,25.197541,26.16409,29.641252,22.370778,30.35814,45.596678,32.734436,32.609232,542.967937
HUMBOLDT,Residential,17.32082,17.469944,22.093899,21.54765,21.72082,21.245316,21.668608,22.463955,21.141401,20.640836,20.181382,20.024936,21.012431,12.948145,16.734072,22.931266,25.543291,23.226602,20.794905,20.856598,20.30295,22.336922,22.493743,19.501802,22.530913,21.367657,540.100864
HUMBOLDT,Total,28.778178,28.681025,35.196111,34.73421,33.851393,32.814777,33.502365,40.01406,39.608161,40.320835,37.763642,37.827509,34.064148,27.781394,27.597213,50.059265,55.796102,49.820775,45.992446,47.020688,49.944202,44.7077,52.851883,65.09848,55.265349,53.976889,1083.0688
