"Planning Area Description","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Streetlight","Total Usage"
"Burbank, Glendale, and Pasadena","1990","      11.960217","     960.077615","      34.074280","     422.342236","      36.559814","     581.876685","      17.700044","    2064.590891"
"Burbank, Glendale, and Pasadena","1991","      11.822134","     948.244378","      36.180572","     329.328576","      30.689211","     540.434218","      17.657846","    1914.356935"
"Burbank, Glendale, and Pasadena","1992","      12.076565","    1039.776036","      34.052828","     303.059341","      30.155044","     578.598000","      17.722187","    2015.440001"
"Burbank, Glendale, and Pasadena","1993","      10.610095","    1055.263796","      31.559605","     257.063486","      31.294235","     554.564000","      18.036784","    1958.392001"
"Burbank, Glendale, and Pasadena","1994","      11.272022","    1056.992486","      34.091530","     234.583096","      34.848768","     571.656000","      17.686098","    1961.130000"
"Burbank, Glendale, and Pasadena","1995","      12.369305","    1103.498907","      33.264697","     193.734761","      35.160542","     576.706000","      17.235788","    1971.970000"
"Burbank, Glendale, and Pasadena","1996","       7.566411","    1148.188048","      34.564215","     193.005400","      36.991273","     585.740000","      16.774653","    2022.830000"
"Burbank, Glendale, and Pasadena","1997","       7.056725","    1205.400167","      38.435209","     198.757318","      32.462124","     596.206000","      17.066456","    2095.383999"
"Burbank, Glendale, and Pasadena","1998","       5.734642","    1178.636838","      38.154131","     188.045073","      35.342912","     603.495000","      16.139405","    2065.548001"
"Burbank, Glendale, and Pasadena","1999","       7.014006","    1219.424009","      40.816797","     184.424588","      37.272100","     594.554000","      16.774501","    2100.280001"
"Burbank, Glendale, and Pasadena","2000","       7.652558","    1240.294678","      39.506074","     167.577941","      36.968750","     605.000000","      19.000000","    2116.000001"
"Burbank, Glendale, and Pasadena","2001","       7.413885","    1261.686470","      47.784045","     136.762716","      35.352884","     613.000000","      19.000000","    2121.000000"
"Burbank, Glendale, and Pasadena","2002","      15.296595","    1235.354128","      51.396458","     148.525620","      31.427491","     592.009948","      19.000000","    2093.010240"
"Burbank, Glendale, and Pasadena","2003","      13.762625","    1261.929823","      46.086153","     126.698863","      29.524484","     600.037599","      19.000000","    2097.039547"
"Burbank, Glendale, and Pasadena","2004","       3.117045","    1291.426679","      46.479460","     139.999476","      33.990007","     652.052870","      19.000000","    2186.065537"
"Burbank, Glendale, and Pasadena","2005","       3.398402","    1250.334845","      65.529783","     149.684922","      36.262061","     630.102291","      19.000000","    2154.312304"
"Burbank, Glendale, and Pasadena","2006","       3.205801","    1314.283778","      70.824926","     158.679257","      40.779877","     649.184835","      19.000000","    2255.958474"
"Burbank, Glendale, and Pasadena","2007","       5.641414","    1386.003997","      59.238240","     130.889405","      44.089045","     666.345640","      19.000000","    2311.207741"
"Burbank, Glendale, and Pasadena","2008","      11.805920","    1240.083445","     211.691449","     111.953776","      40.913940","     667.663744","      19.000000","    2303.112274"
"Burbank, Glendale, and Pasadena","2009","       4.921255","    1214.061399","     220.395413","     122.095086","      33.231865","     671.527114","      19.000000","    2285.232132"
"Burbank, Glendale, and Pasadena","2010","      11.104980","    1176.804198","     199.941059","     113.829081","      29.658471","     645.586391","      19.000000","    2195.924180"
"Burbank, Glendale, and Pasadena","2011","      14.313983","    1191.854201","     185.227441","     118.043257","      27.441585","     631.826035","      19.000000","    2187.706502"
"Burbank, Glendale, and Pasadena","2012","      12.834301","    1237.914986","     192.114121","     111.504996","      29.465956","     661.932091","      19.000000","    2264.766451"
"Burbank, Glendale, and Pasadena","2013","       8.680228","    1198.644345","     153.565342","     106.387819","      29.206271","     657.547965","      19.000000","    2173.031970"
"Burbank, Glendale, and Pasadena","2014","      10.271296","    1203.709841","     150.743600","     104.620457","      29.334900","     677.831425","      19.000000","    2195.511519"
"Burbank, Glendale, and Pasadena","2015","      11.960183","    1202.331829","     152.061739","     100.954563","      22.401155","     664.893512","      19.168541","    2173.771522"
"Burbank, Glendale, and Pasadena","2016","      12.359716","    1180.439116","     158.984011","     103.932374","      20.119565","     647.129563","      18.284932","    2141.249277"
"Burbank, Glendale, and Pasadena","2017","      13.365889","    1205.132136","     168.884499","     102.613825","      20.956172","     671.861943","      18.000000","    2200.814464"
"Burbank, Glendale, and Pasadena","2018","      13.921844","    1186.711503","     165.762790","      97.522051","      20.830624","     661.423761","      18.000000","    2164.172573"
"Burbank, Glendale, and Pasadena","2019","      13.624035","    1129.785298","     163.822420","      94.557881","      20.051176","     632.640863","      26.880039","    2081.361712"
"Dept. of Water Resources","1990","    8171.070000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    8171.070000"
"Dept. of Water Resources","1991","    4399.920000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    4399.920000"
"Dept. of Water Resources","1992","    4087.999999","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    4087.999999"
"Dept. of Water Resources","1993","    4371.800000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    4371.800000"
"Dept. of Water Resources","1994","    4945.536131","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    4945.536131"
"Dept. of Water Resources","1995","    3562.270000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    3562.270000"
"Dept. of Water Resources","1996","    5146.488957","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    5146.488957"
