"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Non-Residential","     165.174338","     166.174907","     164.045323","     161.210665","     165.096548","     171.368203","     183.710331","     177.604572","     176.475805","     182.719551","     183.008810","     196.888386","     181.211794","     199.402432","     193.655060","     221.536117","     180.128111","     206.740940","     238.223918","     251.905756","     233.148715","     233.853154","     222.272109","     209.501710","     212.485822","     223.492971","     216.197742","     205.907567","     230.373948","     229.905609","    5983.420914"
"ALAMEDA","Residential","     218.976191","     210.826845","     214.981949","     200.660291","     193.346862","     191.236642","     239.531030","     233.334393","     246.221641","     239.361319","     236.611842","     239.793697","     234.158000","     232.049202","     228.914041","     237.954668","     234.607162","     239.323177","     225.870843","     268.786307","     300.289750","     272.586252","     244.883993","     244.551780","     245.521008","     241.235360","     263.446670","     242.379658","     277.623647","     271.287576","    7170.351796"
"ALAMEDA","Total","     384.150529","     377.001752","     379.027272","     361.870956","     358.443410","     362.604845","     423.241361","     410.938965","     422.697446","     422.080870","     419.620653","     436.682083","     415.369794","     431.451635","     422.569101","     459.490785","     414.735273","     446.064117","     464.094762","     520.692063","     533.438465","     506.439406","     467.156102","     454.053489","     458.006829","     464.728331","     479.644412","     448.287225","     507.997594","     501.193185","   13153.772710"
"AMADOR","Non-Residential","       5.058842","       4.274686","       4.207693","       3.624657","       3.104651","       3.361988","       6.158488","       6.370928","       6.635128","       6.917237","       6.707174","       6.180514","       5.674441","       6.191704","       4.087297","       5.015180","       4.907038","       5.278185","       6.590841","       6.733584","       7.871525","       7.125331","       6.335723","       6.593050","      14.306594","      11.615381","      13.634301","      11.911255","      11.795401","      11.658194","     209.927011"
"AMADOR","Residential","       2.165888","       2.030004","       2.049717","       1.921832","       1.885700","       1.796519","       2.343971","       2.162894","       2.398007","       2.234518","       2.249179","       2.221964","       2.205817","       2.185952","       2.156418","       2.241583","       2.210048","       2.254474","       2.127751","       2.045476","       2.154313","       1.997039","       1.839774","       1.734252","       1.741830","       1.714945","       1.827246","       1.628623","       1.755432","       1.615980","      60.897146"
"AMADOR","Total","       7.224730","       6.304690","       6.257410","       5.546489","       4.990351","       5.158507","       8.502459","       8.533822","       9.033135","       9.151755","       8.956353","       8.402478","       7.880258","       8.377656","       6.243715","       7.256763","       7.117086","       7.532660","       8.718592","       8.779060","      10.025838","       9.122370","       8.175498","       8.327302","      16.048423","      13.330326","      15.461547","      13.539877","      13.550833","      13.274175","     270.824158"
"BUTTE","Non-Residential","      16.527181","      16.990629","      17.648878","      17.039655","      16.528871","      17.752469","      18.470805","      18.239243","      18.101027","      17.874904","      17.624018","      17.144457","      18.048262","      19.122693","      18.850298","      23.513508","      22.363528","      18.780406","      18.473087","      34.171089","      34.975237","      35.466956","      26.643273","      19.294379","      18.306778","      17.367093","      15.516238","      14.554602","      17.834060","      17.028776","     600.252400"
"BUTTE","Residential","      22.698185","      24.989481","      27.189926","      25.328217","      23.904163","      24.203910","      28.969511","      28.706792","      30.952046","      29.671813","      29.190053","      29.428904","      28.990591","      28.729505","      28.341348","      29.460648","      29.046201","      29.630080","      27.964576","      31.437340","      33.827864","      31.254801","      28.681872","      28.423685","      28.187193","      30.122988","      30.739004","      27.502154","      29.048088","      28.180464","     854.801403"
"BUTTE","Total","      39.225366","      41.980110","      44.838804","      42.367872","      40.433034","      41.956379","      47.440316","      46.946035","      49.053073","      47.546717","      46.814071","      46.573361","      47.038853","      47.852198","      47.191646","      52.974156","      51.409728","      48.410486","      46.437663","      65.608429","      68.803100","      66.721757","      55.325145","      47.718064","      46.493971","      47.490081","      46.255241","      42.056755","      46.882148","      45.209241","    1455.053800"
"CALAVERAS","Non-Residential","       0.532807","       0.464448","       0.536150","       0.519209","       0.542506","       0.463138","       0.537571","       0.474044","       0.515882","       0.470103","       0.548872","       0.597121","       0.521574","       0.541989","       0.518937","       0.551416","       0.511449","       0.548700","       0.520549","       0.528707","       0.512721","       0.478567","       0.434108","       0.414461","       0.426759","       0.393169","       0.379620","       0.341778","       0.339484","       0.331382","      14.497221"
"CALAVERAS","Residential","       0.430143","       0.371723","       0.425254","       0.391473","       0.436843","       0.356240","       0.502469","       0.467094","       0.502482","       0.437896","       0.483035","       0.533872","       0.477636","       0.473334","       0.466939","       0.485380","       0.478552","       0.488172","       0.460732","       0.522688","       0.567245","       0.514449","       0.461655","       0.460462","       0.462612","       0.514000","       0.504996","       0.459223","       0.452244","       0.417324","      14.006167"
"CALAVERAS","Total","       0.962950","       0.836171","       0.961404","       0.910682","       0.979349","       0.819378","       1.040040","       0.941137","       1.018364","       0.907999","       1.031907","       1.130993","       0.999210","       1.015324","       0.985876","       1.036796","       0.990001","       1.036872","       0.981281","       1.051395","       1.079967","       0.993016","       0.895763","       0.874923","       0.889371","       0.907170","       0.884617","       0.801001","       0.791728","       0.748706","      28.503391"
"COLUSA","Non-Residential","      29.254071","      30.633366","      26.108448","      34.370972","      36.019722","      28.609024","      26.799442","      24.493869","      22.959937","      25.019860","      25.713681","      25.559172","      26.139850","      30.981207","      25.105347","      34.583267","      24.905626","       5.559090","       5.718973","      39.623128","      37.500376","      34.233697","      23.800702","      22.318914","      23.898084","      30.049003","       9.032565","      19.310141","      11.400267","      11.785811","     751.487612"
"COLUSA","Residential","       2.211679","       2.066297","       2.147563","       2.008418","       1.907506","       1.877487","       2.276825","       2.264494","       2.455469","       2.410313","       2.358556","       2.323724","       2.294921","       2.274253","       2.243526","       2.332131","       2.299323","       2.345543","       2.213700","       2.350623","       2.573562","       2.379988","       2.186423","       2.188627","       2.192911","       2.322577","       2.369988","       2.115309","       2.267578","       2.206841","      67.466155"
"COLUSA","Total","      31.465750","      32.699663","      28.256011","      36.379390","      37.927228","      30.486511","      29.076267","      26.758363","      25.415406","      27.430173","      28.072237","      27.882896","      28.434770","      33.255460","      27.348873","      36.915397","      27.204949","       7.904633","       7.932673","      41.973752","      40.073939","      36.613685","      25.987125","      24.507541","      26.090995","      32.371580","      11.402553","      21.425450","      13.667845","      13.992651","     818.953766"
"CONTRA COSTA","Non-Residential","    1029.002131","     955.564059","     945.931318","     977.855725","     934.979818","     950.582136","     912.343777","     932.253917","     884.884242","     827.647325","     782.416999","     770.736780","     731.690410","     836.915778","     876.315712","     956.293330","     713.861315","     646.674885","     810.668502","     727.084946","     618.240411","     742.080497","     895.859875","     845.447456","     670.897841","     531.099633","     546.613658","     554.478722","     604.288332","     701.736398","   23914.445928"
