"Planning Area Description","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Total Usage"
"Other","1990","       0.632377","      19.151978","       1.194408","       0.684518","       0.607873","      72.355322","      94.626476"
"Other","1991","       0.816776","      23.676554","       0.945954","       0.929697","       0.753662","      60.934844","      88.057487"
"Other","1992","       0.455820","      13.889081","       2.389486","       7.814751","       0.619381","      66.829433","      91.997952"
"Other","1993","       0.390385","      16.862035","       2.582556","       9.898499","       0.577815","      72.155894","     102.467184"
"Other","1994","       0.382770","      18.562709","       2.907876","       8.521495","       3.259106","      74.898540","     108.532496"
"Other","1995","       0.147308","      14.300866","       2.192384","      10.691739","       4.397648","      65.954714","      97.684659"
"Other","1996","       0.258345","      19.681045","       3.271160","      15.521455","       3.662439","      67.414445","     109.808889"
"Other","1997","       0.247483","      20.640231","       2.979283","      17.436069","       3.544320","      68.421177","     113.268563"
"Other","1998","       0.179430","      23.317598","       3.272636","      14.023730","       2.889120","      70.567248","     114.249762"
"Other","1999","       0.213474","      21.976633","       2.913671","      17.211617","       4.315921","      69.509086","     116.140402"
"Other","2000","       0.171448","      16.591564","       2.799877","      16.258966","       3.632813","      89.219829","     128.674497"
"Other","2001","       0.154262","      19.759256","       2.104666","      14.890982","       2.355132","      77.559999","     116.824297"
"Other","2002","       0.172811","      20.261794","       3.283529","      16.963170","       3.120520","      80.430000","     124.231824"
"Other","2003","       0.153652","      22.987690","       2.739279","      15.777010","       3.890378","      84.269999","     129.818008"
"Other","2004","       0.546896","      25.770001","       3.066556","       8.183752","       3.140530","      98.930000","     139.637735"
"Other","2005","       0.284242","      25.069999","       3.240185","       1.783158","       1.140449","      92.890000","     124.408033"
"Other","2006","       0.085457","      33.068439","      12.946195","       6.760901","       1.659844","      93.944132","     148.464968"
"Other","2007","       0.112819","      33.301972","      13.391806","       1.650600","       0.074804","      93.184322","     141.716323"
"Other","2008","       0.084255","      30.266810","       6.556773","       3.835001","       0.955771","      92.882479","     134.581089"
"Other","2009","       0.105908","      32.901737","       6.809945","       2.330084","       0.985931","      94.857783","     137.991388"
"Other","2010","       0.087388","      31.190567","       6.055789","       2.443296","       1.052816","      98.700778","     139.530634"
"Other","2011","       0.080871","      31.805211","       7.969793","       4.054247","       0.931737","     100.596766","     145.438625"
"Other","2012","       0.068371","      29.701974","       5.596741","       4.087780","       0.597062","      93.704399","     133.756327"
"Other","2013","       0.069101","      30.914988","       4.159814","       5.314247","       0.642820","      98.638885","     139.739855"
"Other","2014","       0.063290","      28.793589","       4.311247","       5.221635","       0.521685","      82.506610","     121.418056"
"Other","2015","       0.073748","      30.812304","       4.769924","       5.444151","       0.569690","      88.998206","     130.668023"
"Other","2016","       0.068607","      31.230938","       5.932329","       6.321091","       0.610493","      93.055953","     137.219411"
"Other","2017","       0.068720","      32.577799","       4.675515","       6.554060","       0.610804","      97.483236","     141.970134"
"Other","2018","       0.057746","      31.348937","       5.262886","       6.526148","       0.574178","      92.702116","     136.472011"
"Other","2019","       0.065879","      34.420842","       5.491829","       6.591689","       0.718334","     108.012997","     155.301570"
"Pacific Gas and Electric","1990","      61.496117","     742.549226","      45.970561","    1813.072384","      87.444767","    2108.776015","    4859.309070"
"Pacific Gas and Electric","1991","      59.581164","     766.039377","      48.053884","    1660.693344","      91.043930","    2169.455548","    4794.867247"
"Pacific Gas and Electric","1992","      51.613572","     694.656044","      45.118157","    1549.140976","      72.046642","    1961.107387","    4373.682778"
"Pacific Gas and Electric","1993","      59.210503","     716.638507","      45.959475","    1570.449040","      85.421202","    2124.122439","    4601.801166"
"Pacific Gas and Electric","1994","      54.475811","     787.322097","      45.542594","    1620.790518","      74.328784","    2172.616364","    4755.076168"
"Pacific Gas and Electric","1995","      48.094012","     737.455614","      37.744235","    1756.440701","      81.763347","    1958.832423","    4620.330332"
"Pacific Gas and Electric","1996","      54.346682","     737.010545","      43.031024","    1854.931880","      51.364722","    1973.489431","    4714.174284"
"Pacific Gas and Electric","1997","      58.701858","     741.269479","      47.508353","    1922.697200","      75.968641","    1976.081161","    4822.226692"
"Pacific Gas and Electric","1998","      68.413099","     843.830838","      46.597814","    1797.470433","     151.057734","    2257.471512","    5164.841430"
"Pacific Gas and Electric","1999","      72.897292","     880.847519","      50.062273","    1658.483475","     101.422357","    2419.659872","    5183.372788"
"Pacific Gas and Electric","2000","      62.846630","     887.884408","      53.804152","    1778.731627","     101.650229","    2178.082057","    5062.999103"
"Pacific Gas and Electric","2001","      54.926809","     760.240927","      81.155522","    1790.479472","      35.597054","    1965.024205","    4687.423989"
"Pacific Gas and Electric","2002","      54.188653","     848.069391","      32.451164","    1387.685200","      15.716828","    2079.088721","    4417.199957"
"Pacific Gas and Electric","2003","      72.872334","     878.447146","      45.012858","    1447.060639","      15.794540","    2044.204198","    4503.391715"
"Pacific Gas and Electric","2004","      65.073216","     951.197448","      60.715448","    2008.372195","      47.450329","    2071.159902","    5203.968538"
"Pacific Gas and Electric","2005","      40.957473","     890.517748","      60.586955","    1717.073485","      79.096261","    1980.628991","    4768.860913"
"Pacific Gas and Electric","2006","      40.994292","     917.698087","      57.648559","    1775.225230","      28.991011","    2020.628655","    4841.185834"
"Pacific Gas and Electric","2007","      46.189316","     883.573489","      49.064912","    1506.563701","      38.561014","    2038.476232","    4562.428664"
"Pacific Gas and Electric","2008","      43.825373","     908.126646","      48.780880","    1590.790096","      44.893803","    2073.053161","    4709.469959"
"Pacific Gas and Electric","2009","      36.884391","     890.214684","      46.719113","    1524.597069","      40.823872","    2059.820215","    4599.059344"
"Pacific Gas and Electric","2010","      34.802965","     905.029793","      47.734876","    1534.014088","      53.605526","    2070.366476","    4645.553724"
"Pacific Gas and Electric","2011","      37.228197","     911.402827","      50.083090","    1613.729046","      50.035147","    2144.948949","    4807.427256"
"Pacific Gas and Electric","2012","      37.101840","     923.424676","      51.063725","    1704.162456","      25.275367","    2020.466531","    4761.494595"
"Pacific Gas and Electric","2013","      39.002143","     931.298567","      50.817752","    1702.124829","      19.863995","    2066.515005","    4809.622291"
"Pacific Gas and Electric","2014","      34.146880","     824.590445","      60.208417","    1779.582516","      56.609402","    1675.789225","    4430.926885"
"Pacific Gas and Electric","2015","      34.508375","     831.108380","      59.901858","    1764.854452","      56.402588","    1699.996953","    4446.772606"
"Pacific Gas and Electric","2016","      36.143900","     857.046334","      63.788249","    1812.156728","      69.841257","    1755.047403","    4594.023871"
"Pacific Gas and Electric","2017","      36.416223","     879.891368","      68.632717","    1703.795321","     170.943504","    1883.700209","    4743.379342"
"Pacific Gas and Electric","2018","      37.231929","     914.066903","      59.726006","    1777.699764","     190.377107","    1843.377817","    4822.479526"
"Pacific Gas and Electric","2019","      34.316387","     942.137238","      62.069982","    1849.311580","     169.764405","    1913.826310","    4971.425902"
"San Diego Gas and Electric","1990","       6.465501","     115.689617","      19.782419","      33.377237","       5.275806","     337.914904","     518.505484"
"San Diego Gas and Electric","1991","       5.508229","     108.585916","      17.540253","      32.895564","       6.252320","     335.282095","     506.064377"
"San Diego Gas and Electric","1992","       7.152526","     120.222353","      16.089961","      37.402030","       5.348272","     313.662931","     499.878073"
"San Diego Gas and Electric","1993","       8.318277","     109.249435","      18.627408","      32.881846","       3.664810","     327.053252","     499.795028"
"San Diego Gas and Electric","1994","       6.148935","     129.576699","      19.990824","      36.180987","       3.646114","     343.816395","     539.359954"
"San Diego Gas and Electric","1995","       6.426980","     130.624737","      21.225959","      36.995588","       3.211763","     316.193149","     514.678176"
"San Diego Gas and Electric","1996","       8.024890","     126.661430","      19.167658","      35.462285","       2.412072","     317.043317","     508.771652"
"San Diego Gas and Electric","1997","       8.534432","     129.334042","      17.573042","      36.964057","       1.747180","     311.537610","     505.690363"
"San Diego Gas and Electric","1998","       7.524642","     132.006643","      18.357059","      38.509521","       1.488415","     323.967176","     521.853456"
"San Diego Gas and Electric","1999","       8.333557","     134.679134","      18.845981","      39.877399","       1.733074","     336.396742","     539.865887"
"San Diego Gas and Electric","2000","       6.227875","     137.357375","      15.445713","      40.023935","       1.880000","     340.240000","     541.174898"
"San Diego Gas and Electric","2001","       7.581935","     146.943196","      19.551157","      38.499741","       2.256915","     358.451478","     573.284422"
"San Diego Gas and Electric","2002","       8.510706","     151.446071","      16.668415","      40.292065","       2.579734","     357.085936","     576.582927"
"San Diego Gas and Electric","2003","       6.986070","     158.469537","      22.705430","      34.552888","       2.640048","     339.758169","     565.112142"
"San Diego Gas and Electric","2004","       6.479669","     159.938061","      20.469130","      32.595645","       5.280627","     357.529295","     582.292427"
"San Diego Gas and Electric","2005","       5.268024","     158.779520","      20.887146","      29.463841","       5.267161","     335.134761","     554.800453"
"San Diego Gas and Electric","2006","       4.896827","     153.667565","      24.987423","      30.306846","       4.812415","     345.376492","     564.047568"
"San Diego Gas and Electric","2007","       4.448082","     155.353126","      23.666580","      27.240795","       4.397036","     331.901692","     547.007311"
"San Diego Gas and Electric","2008","       3.856334","     155.221689","      24.250213","      29.010872","       4.333882","     324.692766","     541.365756"
"San Diego Gas and Electric","2009","       4.139821","     149.924455","      21.128580","      27.533102","       3.409723","     308.734009","     514.869690"
"San Diego Gas and Electric","2010","       4.013767","     163.459737","      22.499816","      24.673348","       3.700995","     337.881818","     556.229481"
"San Diego Gas and Electric","2011","       4.443822","     156.336539","      16.556732","      21.169590","       3.402721","     326.910505","     528.819909"
"San Diego Gas and Electric","2012","       4.831806","     155.822779","      16.928552","      22.155963","       3.782335","     311.143539","     514.664974"
"San Diego Gas and Electric","2013","       4.041873","     162.281849","      17.351108","      21.736174","       3.925650","     318.269246","     527.605900"
"San Diego Gas and Electric","2014","       2.425122","     153.116827","      15.007570","      20.460825","       3.433500","     256.548716","     450.992560"
"San Diego Gas and Electric","2015","       2.415126","     153.193840","      17.165002","      20.832651","       3.519448","     255.613587","     452.739654"
"San Diego Gas and Electric","2016","       3.134443","     158.536517","      17.631777","      21.347452","       3.149995","     268.964313","     472.764497"
"San Diego Gas and Electric","2017","       3.195573","     163.243384","      17.149325","      20.101224","       3.349949","     272.779657","     479.819112"
"San Diego Gas and Electric","2018","       3.888411","     166.691454","      23.432984","      20.348162","       3.636736","     264.499464","     482.497211"
"San Diego Gas and Electric","2019","       4.910633","     175.932144","      24.198474","      21.263997","       3.835372","     303.739146","     533.879766"
"Southern California Gas","1990","      56.335920","     783.300640","      58.034182","    1253.821558","    2412.903610","    2687.293886","    7251.689796"
"Southern California Gas","1991","      52.136208","     767.824507","     100.267296","    1151.166297","    2322.063832","    2704.640468","    7098.098608"
"Southern California Gas","1992","      51.573213","     739.102197","      67.943792","    1047.751732","    2197.563469","    2640.436592","    6744.370995"
"Southern California Gas","1993","      47.878414","     763.523894","      56.471389","    1059.438441","    2071.810926","    2616.982990","    6616.106054"
"Southern California Gas","1994","      56.457169","     759.781622","      55.322626","    1108.807915","    2030.595933","    2665.848332","    6676.813597"
"Southern California Gas","1995","      52.060576","     717.696627","      88.121125","    1065.025563","    1972.409511","    2459.144481","    6354.457883"
"Southern California Gas","1996","      60.458121","     761.765243","     111.674239","    1540.559486","    2099.740846","    2481.690672","    7055.888607"
"Southern California Gas","1997","      68.665005","     754.138918","      93.663553","    1504.222453","    2383.851922","    2441.049056","    7245.590907"
