"Utility Type","Utility Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Total Usage"
"Investor owned utility","Avista Energy","1990","       0.369578","       6.313399","       0.073586","       0.085025","       0.045375","       0.004280","       6.891243"
"Investor owned utility","Avista Energy","1991","       0.560144","       8.144458","       0.087864","       0.104610","       0.077469","       2.579659","      11.554204"
"Investor owned utility","Avista Energy","1992","       0.271268","       1.902593","       0.008313","       0.051262","       0.063450","      10.812174","      13.109060"
"Investor owned utility","Avista Energy","1993","       0.213678","       4.299482","       0.008684","       0.069260","       0.090162","      12.818661","      17.499927"
"Investor owned utility","Avista Energy","1994","       0.194227","       6.206893","       0.007132","       0.036190","       0.095604","      12.174947","      18.714993"
"Investor owned utility","Avista Energy","1995","       0.000000","       5.332824","       0.000000","       0.000000","       0.000000","      12.174947","      17.507771"
"Investor owned utility","Avista Energy","1996","       0.000000","       7.411690","       0.000000","       0.000000","       0.000000","      12.818661","      20.230351"
"Investor owned utility","Avista Energy","1997","       0.000000","       5.658733","       0.013798","       0.000000","       0.000000","      13.000000","      18.672531"
"Investor owned utility","Avista Energy","1998","       0.000000","       4.876358","       0.000000","       0.000000","       0.000000","      14.099829","      18.976187"
"Investor owned utility","Avista Energy","1999","       0.000000","       4.689475","       0.000000","       0.000000","       0.000000","      14.099829","      18.789304"
"Investor owned utility","Avista Energy","2000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      14.099829","      14.099829"
"Investor owned utility","Avista Energy","2001","       0.000000","       5.408141","       0.000000","       0.000000","       0.000000","      14.099829","      19.507970"
"Investor owned utility","Avista Energy","2002","       0.000000","       4.969353","       0.000000","       0.000000","       0.000000","      14.522613","      19.491966"
"Investor owned utility","Avista Energy","2003","       0.000000","       2.567533","       0.000000","       0.000000","       0.000000","      14.505796","      17.073329"
"Investor owned utility","Avista Energy","2004","       0.000000","       1.105978","       0.000000","       0.000000","       0.000000","      14.977843","      16.083821"
"Investor owned utility","Avista Energy","2005","       0.000000","       2.155420","       0.000000","       0.000000","       0.000000","      15.683306","      17.838726"
"Investor owned utility","Pacific Gas and Electric Company","1990","      61.259016","     718.750545","      45.895931","    1649.445259","      78.667896","    2090.922696","    4644.941343"
"Investor owned utility","Pacific Gas and Electric Company","1991","      59.580293","     739.700738","      48.008684","    1512.418893","      77.874435","    2152.320659","    4589.903702"
"Investor owned utility","Pacific Gas and Electric Company","1992","      51.612793","     672.086111","      45.084345","    1423.432442","      69.205558","    1944.906763","    4206.328012"
"Investor owned utility","Pacific Gas and Electric Company","1993","      59.209961","     700.433199","      45.895071","    1485.862698","      72.923337","    2107.687277","    4472.011543"
"Investor owned utility","Pacific Gas and Electric Company","1994","      54.475122","     767.324843","      45.474400","    1509.942928","      62.881277","    2154.249894","    4594.348464"
"Investor owned utility","Pacific Gas and Electric Company","1995","      48.093248","     716.686458","      37.671411","    1679.898869","      64.848317","    1942.747888","    4489.946191"
"Investor owned utility","Pacific Gas and Electric Company","1996","      54.345756","     713.559923","      42.954175","    1831.916635","      35.444684","    1957.774142","    4635.995315"
"Investor owned utility","Pacific Gas and Electric Company","1997","      54.741383","     725.019119","      47.129959","    1885.271860","      17.645710","    1960.534257","    4690.342288"
